atleta_id;rodada_id;clube_id;posicao_id;pontos_num;preco_num;variacao_num
38394;31;293;3;0.1;8.36;-0.8
92696;31;293;5;9.3;7.65;0.78
87225;31;293;3;8.4;8.78;0.07
38750;31;262;2;0;9.42;0
71602;31;327;2;-0.1;5.64;-0.88
80076;31;373;5;2.8;7.99;0.53
86759;31;264;4;0;1.64;0
68923;31;264;3;1.5;6.85;-0.71
42234;31;264;1;-1;11.69;-1.2
42500;31;264;2;6.1;12.54;0.15
39850;31;284;6;0;6.99;0
51413;31;1371;1;0;9.05;0
38229;31;264;2;-0.5;10.34;-0.97
63172;31;1371;3;0;4.61;0
84863;31;293;6;3.11;4.26;-0.36
95662;31;327;3;-1.2;3.59;-0.46
83817;31;1371;5;0;6.08;0
110190;31;262;4;0;1;0
69345;31;262;2;0;10.53;0
113664;31;275;4;0;1;0
113667;31;262;5;0;0.74;0
38509;31;262;1;0;13.59;0
90285;31;262;5;1.8;17.56;-0.14
71571;31;373;1;-1;16.39;-0.17
113663;31;275;5;0;1;0
78435;31;262;5;9;9.13;1.2
83257;31;262;5;6.5;18.5;-0.4
51772;31;262;4;0;7.25;0
70323;31;1371;6;0;4.39;0
38909;31;262;4;-2.3;4.23;-0.76
85004;31;266;1;0;14.12;0
42411;31;282;6;6.61;13.14;0.12
38162;31;266;5;0;6.05;0
39148;31;282;5;11;22.18;1.53
73800;31;262;3;0;10.34;0
82628;31;356;2;0.5;7.86;0.45
72294;31;282;1;5;12.37;-0.43
94286;31;315;5;0;5.27;0
80853;31;284;3;0;6.62;0
68911;31;284;5;0;11.16;0
110947;31;266;4;0;0.93;0
98057;31;354;6;1.65;6.14;-0.34
101290;31;284;5;0;9.78;0
87342;31;284;3;0;7.38;0
72372;31;356;1;-2;7.61;-0.39
110832;31;356;4;0;2;0
70360;31;282;5;0;5.72;0
68872;31;285;1;1;6.17;-1.24
110687;31;285;5;0;1.37;0
69102;31;282;5;0;7.01;0
97341;31;276;6;1.33;10.94;0.18
97453;31;327;1;0;5.45;0
38279;31;356;5;-2.5;5.02;-0.38
83433;31;285;4;0;9.85;0
90309;31;356;5;0;8.08;0
101051;31;354;5;0;0.75;0
89493;31;282;3;0;4.7;0
111638;31;277;3;5;2.39;0.77
93790;31;373;4;0.5;3.83;-0.42
82792;31;280;6;1.79;13.16;0.07
79113;31;285;3;0.4;7.47;-0.74
81031;31;327;6;4.42;7.47;0.39
82407;31;286;4;0;4.28;0
78445;31;262;2;5.9;6.41;0.4
107374;31;266;2;0;1;0
61033;31;265;4;0;5.52;0
86264;31;373;2;0;12.98;0
82455;31;275;4;0.4;4.75;0.36
38231;31;277;5;1.2;4.9;-0.81
73465;31;266;3;0;8.98;0
94509;31;275;4;7.6;15.44;-1.21
61188;31;265;5;1.2;13.33;-0.32
110506;31;275;6;9.13;13.21;0.68
113671;31;280;5;0;1;0
73766;31;285;6;2.62;9.6;-0.49
37674;31;286;4;-0.5;3.69;-0.01
72772;31;275;5;0;7.56;0
71684;31;275;3;0;10.42;0
78584;31;286;1;-1;4.76;-1.22
87999;31;275;4;20.9;16.61;3.89
81682;31;266;4;0;4.69;0
68808;31;265;2;6.3;9.39;-0.07
110909;31;280;2;0;0.77;0
112984;31;262;5;0;0.75;0
68952;31;277;5;14.5;18.7;1.95
101708;31;277;2;8.3;10.74;1.62
72359;31;354;3;0;6.97;0
110640;31;282;1;0;1;0
93550;31;276;4;8;7.21;1.21
93882;31;280;1;1.5;9.28;0.14
78851;31;354;1;-2;6.8;-0.79
104084;31;264;1;0;1;0
81798;31;265;5;-5.6;8.23;-2.08
71691;31;265;4;0;3.41;0
95799;31;280;5;-0.5;14.91;-0.8
113683;31;282;4;0;1;0
92496;31;280;4;0;7.71;0
112141;31;285;2;5.4;5.41;0.99
107898;31;282;5;0;1.35;0
110632;31;282;5;0;0.76;0
97867;31;280;3;0;8.55;0
111408;31;264;5;0;0.77;0
78850;31;276;2;-0.3;9.78;0.06
37245;31;265;6;1.35;9.22;-0.56
102598;31;280;5;0;12.25;-0.53
111690;31;262;1;0;1;0
101820;31;265;2;0;2;0
60825;31;327;5;5.4;7.71;0.84
111684;31;285;3;0;1;0
68920;31;275;5;7.8;11.69;1.51
80287;31;276;5;1.6;7.73;0.42
72580;31;327;1;6.5;8.52;0.27
95352;31;276;2;0;5.77;0
71162;31;354;4;-0.2;10.57;-1.27
62024;31;280;2;2.5;4.94;0.25
97080;31;354;5;0.2;0.96;-0.03
101201;31;354;5;0;3;0
107018;31;354;1;0;1;0
108042;31;285;4;0;1.96;0
84674;31;280;4;0;14.02;0
91783;31;327;2;0;2.5;0
101440;31;282;2;0;1;0
81776;31;327;4;0;2.81;0
113666;31;280;5;0;1;0
88423;31;280;2;5.2;12.8;0.82
105171;31;327;5;0;5.39;0
74034;31;265;5;-0.2;6.28;-0.03
97317;31;327;4;2;2.66;0.35
96055;31;327;4;0;1.88;0
94068;31;327;5;0;3.16;0
69214;31;315;5;0;3.73;0
81952;31;354;4;-0.2;1.14;-0.23
109461;31;282;4;0;2.12;0
114133;31;292;4;0;1;0
88916;31;373;1;0;4.04;0
107742;31;285;3;0;1;0
109463;31;282;5;0;2.04;0
103766;31;275;5;0;2;0
104282;31;262;5;0;2;0
110624;31;275;1;0;1;0
112327;31;1371;5;0;0.78;0
101709;31;354;3;0;2;0
98952;31;264;5;0;3.11;0
108473;31;1371;4;0;4.31;0
98619;31;275;3;8.3;4.1;0.69
111534;31;292;3;0;0.78;0
101431;31;277;3;5.6;3.8;1.03
112612;31;1371;5;0;2;0
102067;31;264;4;0;1.46;0
108683;31;280;4;-1;2.39;-0.65
80189;31;265;3;0;4.08;0
91702;31;280;5;0;1.94;0
86629;31;373;2;0;2.41;0
92180;31;286;6;1.85;4.76;-0.2
85931;31;282;4;1;5.83;-0.05
85586;31;265;4;0;2.87;0
111694;31;262;5;0;1;0
110189;31;262;3;0;2;0
106823;31;293;3;0;2.56;0
95556;31;265;4;0;2.06;0
73281;31;315;4;0;1.66;0
106819;31;354;1;0;1.15;0
86863;31;265;3;1.6;5.31;-0.42
88312;31;282;3;0;9.36;0
80318;31;315;2;0;1.51;0
86686;31;282;4;5.3;5.34;0.73
107197;31;293;5;0;1;0
96652;31;282;4;0.7;4.65;-0.15
73282;31;292;5;0;3;0
114444;31;293;4;0;0.77;0
108148;31;1371;4;0;1;0
101733;31;265;4;0;0.88;0
103684;31;285;3;0;2.62;0
86485;31;282;5;11.5;11.82;1.95
69022;31;265;5;0;6;0
104521;31;277;4;3.5;2.22;0.25
82943;31;315;2;0;5.28;0
107759;31;285;1;0;0.71;0
70696;31;277;6;6.45;8.01;1.03
95220;31;373;2;0;3.73;0
97425;31;282;3;0;2.68;0
89273;31;264;2;0;4;0
87009;31;282;4;4.9;5.01;0.97
